,No.,Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Price,Change,Volume
6,226,HON,131.63B,0.02,0.09,0.31,0.15,1.3,1,0.77,1.06,0.32,0.21,0.16,191.93,0,3086067
7,227,HPE,21.74B,0.03,0.07,0.2,0.1,0.9,0.7,0.51,0.69,0.34,0.13,0.13,16.72,0,10838013
8,228,HPQ,36.33B,0.03,0.18,2.31,1.13,0.7,0.4,,,0.21,0.12,0.1,34.49,0.04,20446128
9,229,HRL,27.09B,0.02,0.08,0.13,0.09,2.2,1.2,0.47,0.47,0.17,0.1,0.08,49.7,0.01,1097621
10,230,HSIC,11.90B,,0.08,0.19,0.15,1.7,0.9,0.24,0.25,0.3,0.07,0.05,86.75,0.01,738180
11,231,HST,13.45B,0.01,0,0,0.02,,,0.76,0.76,,0.09,0,18.84,0,6237171
12,232,HSY,42.43B,0.02,0.16,0.6,0.21,0.9,0.5,1.48,1.82,0.45,0.22,0.17,206.71,0,1077540
13,233,HUM,55.90B,0.01,0.07,0.19,0.09,,,0.66,0.8,,0.04,0.04,441.09,0,1222861
14,234,HWM,14.64B,0,0.02,0.07,0.07,2.2,1.1,1.22,1.23,0.28,0.12,0.05,34.94,0,2160707
15,235,IBM,115.08B,0.05,0.04,0.27,0.07,0.9,0.8,2.38,2.74,0.55,0.08,0.1,127.96,0.01,3668796
16,236,ICE,75.06B,0.01,0.03,0.19,0.09,1,1,0.55,0.61,0.78,0.53,0.44,133.6,0.02,2076608
17,237,IDXX,44.41B,,0.31,1.03,0.48,1.3,0.9,1.12,1.34,0.59,0.29,0.23,527.09,0.01,348815
18,238,IEX,15.07B,0.01,0.1,0.17,0.13,3.5,2.7,0.42,0.42,0.44,0.23,0.16,197.97,0.01,358110
19,239,IFF,32.23B,0.03,0.01,0.01,0.02,1.9,1.2,0.51,0.54,0.32,0.05,0.02,126.56,0.01,1401141
20,240,ILMN,53.11B,,0.06,0.1,0.02,2.5,2.1,0.16,0.16,0.7,0.03,0.17,338.26,0.04,860553
1,241,INCY,16.46B,,0.23,0.3,0.25,3.7,3.6,0.01,0.01,0.96,0.2,0.32,74.35,0,1266181
2,242,INTC,191.91B,0.03,0.12,0.23,0.13,2.1,1.7,0.35,0.4,0.55,0.25,0.25,47.14,0.01,27862149
3,243,INTU,133.98B,0.01,0.12,0.19,0.17,1.2,1.2,0.43,0,0.82,0.23,0.19,473.75,0.03,2644698
4,244,IP,16.92B,0.04,0.06,0.2,0.05,1.7,1.3,0.59,0.61,0.29,0.05,0.09,44.97,0.02,3176235
5,245,IPG,14.35B,0.03,0.05,0.3,0.17,1,1,0.82,0.84,0.18,0.13,0.09,36.43,0.01,3761107
6,246,IPGP,6.17B,,0.09,0.1,0.1,7.5,6,0.01,0.01,0.48,0.25,0.19,116.63,0,693169
7,247,IQV,42.52B,,0.04,0.16,0.07,0.9,0.9,1.99,2.01,0.34,0.1,0.07,223.24,0.01,907776
8,248,IR,20.73B,0,0.02,0.04,0.05,2.8,2.2,0.38,0.38,0.39,0.11,0.07,50.82,0.01,2417650
9,249,IRM,14.37B,0.05,0.03,0.46,0.07,0.7,0.7,10.55,10.92,0.7,0.19,0.1,49.57,0.01,1167607
