Date,Fighter,Sig. Str. Leg,Sig. Str. Leg Attempts,Opp Sig. Str. Leg,Opp Sig. Str. Leg Attempts,Sig. Str. Ground Landed,Sig. Str. Ground Attempts,Opp Sig. Str. Ground Landed,Opp Sig. Str. Ground Attempts,Total Strikes Landed,Total Strikes Attempts,Opp Total Strikes Landed,Opp Total Strikes Attempts,Total Takedowns Landed,Total Takedowns Attempts,Opp Total Takedowns Landed,Opp Total Takedowns Attempts,Submission Total Attempts,Opp Submission Total Attempts,Takedown %,Opp Takedown %,Sig. Str. Leg %,Opp Sig. Str. Leg %,Sig. Str. Ground %,Opp Sig. Str. Ground %,Total Strikes %,Opp Total Strikes %,KnockDown Total,Opp KnockDown Total,KnockDown Total Difference,Ground Time,Opp Ground Time,Standing Time,Opp Standing Time,Dominant Positions,Opp Dominant Positions,Top Strike Speed,Opp Top Strike Speed,Height,Weight,Reach,Leg Reach,Points,Inner Zone,Opp Inner Zone,Outer Zone,Opp Outer Zone,Sig. Str. Per KnockDown,Opp Sig. Str. Per KnockDown,Sig. Str. Punches Diff,Sig. Str. Diff,Sig. Str. Leg Diff,Sig. Str. Ground Diff,Odds,Total Wins,Win
8/16/2018 0:00,Bojan Velickovic,6,16,11,29,51,75,19,25,72,153,42,109,5,6,5,6,0,0,0.833333333,0.833333333,0.375,0.379310345,0.68,0.76,0.470588235,0.385321101,0,0,0,13.6,13.6,10.78,10.78,2,2,0,0,"6'0""",170,76,84,5,0,0,0,0,0,0,0,0.085267134,-0.004310345,-0.08,0,1,0
8/16/2018 0:00,Ray Cooper III,0,0,14,16,17,41,15,16,29,70,30,37,2,2,0,1,0,0,1,0,0,0.875,0.414634146,0.9375,0.414285714,0.810810811,2,0,2,11.9,11.9,3.11,3.11,1,0,0,0,"5'7""",170,70,80,11,0,0,0,0,14.5,0,1,-0.396525097,nan,-0.522865854,0,2,1
8/16/2018 0:00,Pavlo Kusch,1,2,13,18,6,15,0,0,21,71,27,56,0,1,0,1,0,0,0,0,0.5,0.722222222,0.4,0,0.295774648,0.482142857,2,1,1,8.68,8.68,5.52,5.52,1,0,0,0,"6'0""",170,0,0,5,0,0,0,0,10.5,27,0,-0.186368209,-0.222222222,nan,0,1,0
8/30/2018 0:00,Muhammed Dereese,9,10,1,2,0,0,0,0,10,15,2,9,0,0,0,0,0,0,0,0,0.9,0.5,0,0,0.666666667,0.222222222,0,0,0,0,0,5,5,0,0,0,0,"6'0""",265,76,42.5,0,0,0,0,0,0,0,0,0.444444444,0.4,0,-350,1,1
8/30/2018 0:00,Leroy Johnson,1,2,9,10,0,0,0,0,2,9,10,15,0,0,0,0,0,0,0,0,0.5,0.9,0,0,0.222222222,0.666666667,0,0,0,0,0,5,5,0,0,0,0,"6'0""",265,0,0,0,0,0,0,0,0,0,0,-0.444444444,-0.4,0,250,0,0
8/30/2018 0:00,Ramazan Kuramagomedov,52,70,2,8,0,0,0,0,87,153,56,216,2,5,0,0,0,0,0.4,0,0.742857143,0.25,0,0,0.568627451,0.259259259,0,0,0,0.28,0.28,14.32,14.32,0,0,0,0,"6'0""",170,0,0,0,0,0,0,0,0,0,nan,0.309368192,0.492857143,0,-540,1,1
8/30/2018 0:00,Robert Hale,2,8,52,70,0,0,0,0,56,216,87,153,0,0,2,5,0,0,0,0.4,0.25,0.742857143,0,0,0.259259259,0.568627451,0,0,0,0.28,0.28,14.32,14.32,0,0,0,0,"5'11""",170,0,0,0,0,0,0,0,0,0,0,-0.309368192,-0.492857143,0,360,0,0
8/30/2018 0:00,Umar Nurmagomedov,26,45,7,29,7,8,0,0,40,80,32,140,2,4,0,1,0,0,0.5,0,0.577777778,0.24137931,0.875,0,0.5,0.228571429,0,0,0,1.4,1.4,13.2,13.2,0,1,0,0,5'8,135,69,41,0,0,0,0,0,0,0,0.5,0.271428571,0.336398467,nan,0,1,1
8/30/2018 0:00,Saidyokub Kakharamonov,7,29,26,45,0,0,7,8,32,140,40,80,0,1,2,4,0,0,0,0.5,0.24137931,0.577777778,0,0.875,0.228571429,0.5,0,0,0,1.4,1.4,13.2,13.2,0,0,0,0,5'9,137,0,0,0,0,0,0,0,0,0,-0.5,-0.271428571,-0.336398467,nan,0,0,0
8/30/2018 0:00,Emiliano Sordi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6'2""",205,77,45,6,0,0,0,0,0,0,0,0,0,0,175,1,1
